shot,seed,method,display_name,true_class,pred_class,count,row_normalized
64,42,baseline_cnn,CNN Baseline,airplane,airplane,1504.0,0.6176591375770021
64,42,baseline_cnn,CNN Baseline,airplane,ship,115.0,0.04722792607802875
64,42,baseline_cnn,CNN Baseline,airplane,vehicle,718.0,0.2948665297741273
64,42,baseline_cnn,CNN Baseline,airplane,harbor,98.0,0.040246406570841886
64,42,baseline_cnn,CNN Baseline,ship,airplane,411.0,0.03704705246078962
64,42,baseline_cnn,CNN Baseline,ship,ship,8187.0,0.7379664683612763
64,42,baseline_cnn,CNN Baseline,ship,vehicle,879.0,0.07923201730665225
64,42,baseline_cnn,CNN Baseline,ship,harbor,1617.0,0.14575446187128177
64,42,baseline_cnn,CNN Baseline,vehicle,airplane,328.0,0.05022970903522205
64,42,baseline_cnn,CNN Baseline,vehicle,ship,937.0,0.14349157733537518
64,42,baseline_cnn,CNN Baseline,vehicle,vehicle,4986.0,0.7635528330781011
64,42,baseline_cnn,CNN Baseline,vehicle,harbor,279.0,0.042725880551301686
64,42,baseline_cnn,CNN Baseline,harbor,airplane,13.0,0.016069221260815822
64,42,baseline_cnn,CNN Baseline,harbor,ship,52.0,0.06427688504326329
64,42,baseline_cnn,CNN Baseline,harbor,vehicle,16.0,0.019777503090234856
64,42,baseline_cnn,CNN Baseline,harbor,harbor,728.0,0.899876390605686
64,42,hybrid_control,Classical Control,airplane,airplane,1713.0,0.7034907597535934
64,42,hybrid_control,Classical Control,airplane,ship,117.0,0.04804928131416838
64,42,hybrid_control,Classical Control,airplane,vehicle,506.0,0.20780287474332648
64,42,hybrid_control,Classical Control,airplane,harbor,99.0,0.0406570841889117
64,42,hybrid_control,Classical Control,ship,airplane,544.0,0.049035514692626646
64,42,hybrid_control,Classical Control,ship,ship,8196.0,0.7387777176852353
64,42,hybrid_control,Classical Control,ship,vehicle,688.0,0.06201550387596899
64,42,hybrid_control,Classical Control,ship,harbor,1666.0,0.1501712637461691
64,42,hybrid_control,Classical Control,vehicle,airplane,407.0,0.06232771822358346
64,42,hybrid_control,Classical Control,vehicle,ship,1053.0,0.16125574272588056
64,42,hybrid_control,Classical Control,vehicle,vehicle,4767.0,0.7300153139356814
64,42,hybrid_control,Classical Control,vehicle,harbor,303.0,0.04640122511485452
64,42,hybrid_control,Classical Control,harbor,airplane,16.0,0.019777503090234856
64,42,hybrid_control,Classical Control,harbor,ship,53.0,0.06551297898640297
64,42,hybrid_control,Classical Control,harbor,vehicle,9.0,0.011124845488257108
64,42,hybrid_control,Classical Control,harbor,harbor,731.0,0.9035846724351051
64,42,hybrid_no_entanglement,QNN No-Ent,airplane,airplane,1785.0,0.7330595482546202
64,42,hybrid_no_entanglement,QNN No-Ent,airplane,ship,211.0,0.08665297741273101
64,42,hybrid_no_entanglement,QNN No-Ent,airplane,vehicle,332.0,0.13634496919917866
64,42,hybrid_no_entanglement,QNN No-Ent,airplane,harbor,107.0,0.04394250513347023
64,42,hybrid_no_entanglement,QNN No-Ent,ship,airplane,454.0,0.04092302145303768
64,42,hybrid_no_entanglement,QNN No-Ent,ship,ship,8193.0,0.7385073012439156
64,42,hybrid_no_entanglement,QNN No-Ent,ship,vehicle,521.0,0.0469623219758428
64,42,hybrid_no_entanglement,QNN No-Ent,ship,harbor,1926.0,0.1736073553272039
64,42,hybrid_no_entanglement,QNN No-Ent,vehicle,airplane,461.0,0.07059724349157734
64,42,hybrid_no_entanglement,QNN No-Ent,vehicle,ship,1058.0,0.16202143950995407
64,42,hybrid_no_entanglement,QNN No-Ent,vehicle,vehicle,4743.0,0.7263399693721286
64,42,hybrid_no_entanglement,QNN No-Ent,vehicle,harbor,268.0,0.04104134762633997
64,42,hybrid_no_entanglement,QNN No-Ent,harbor,airplane,15.0,0.018541409147095178
64,42,hybrid_no_entanglement,QNN No-Ent,harbor,ship,32.0,0.03955500618046971
64,42,hybrid_no_entanglement,QNN No-Ent,harbor,vehicle,29.0,0.03584672435105068
64,42,hybrid_no_entanglement,QNN No-Ent,harbor,harbor,733.0,0.9060568603213844
64,42,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,airplane,airplane,1684.0,0.6915811088295688
64,42,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,airplane,ship,133.0,0.05462012320328542
64,42,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,airplane,vehicle,508.0,0.2086242299794661
64,42,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,airplane,harbor,110.0,0.045174537987679675
64,42,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,ship,airplane,510.0,0.04597079502433748
64,42,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,ship,ship,8328.0,0.7506760411032991
64,42,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,ship,vehicle,619.0,0.05579592572561745
64,42,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,ship,harbor,1637.0,0.14755723814674598
64,42,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,vehicle,airplane,411.0,0.06294027565084227
64,42,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,vehicle,ship,1287.0,0.19709035222052068
64,42,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,vehicle,vehicle,4666.0,0.7145482388973966
64,42,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,vehicle,harbor,166.0,0.025421133231240428
64,42,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,harbor,airplane,16.0,0.019777503090234856
64,42,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,harbor,ship,71.0,0.08776266996291718
64,42,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,harbor,vehicle,9.0,0.011124845488257108
64,42,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,harbor,harbor,713.0,0.8813349814585909
64,43,baseline_cnn,CNN Baseline,airplane,airplane,1799.0,0.7388090349075975
64,43,baseline_cnn,CNN Baseline,airplane,ship,141.0,0.05790554414784394
64,43,baseline_cnn,CNN Baseline,airplane,vehicle,428.0,0.1757700205338809
64,43,baseline_cnn,CNN Baseline,airplane,harbor,67.0,0.02751540041067762
64,43,baseline_cnn,CNN Baseline,ship,airplane,347.0,0.03127816837930413
64,43,baseline_cnn,CNN Baseline,ship,ship,8681.0,0.7824950423652425
64,43,baseline_cnn,CNN Baseline,ship,vehicle,1253.0,0.11294393365783306
64,43,baseline_cnn,CNN Baseline,ship,harbor,813.0,0.07328285559762034
