shot,rank,method,display_name,macro_f1_mean_std,accuracy_mean_std,runtime_seconds_mean_std,macro_f1_mean,macro_f1_std,accuracy_mean,runtime_seconds_mean
16,4,baseline_cnn,CNN Baseline,0.2650 ± 0.0863,0.4715 ± 0.1638,52.66 ± 3.93,0.2649618380975628,0.08628246969578329,0.47148744489170025,52.66101834530543
16,3,hybrid_control,Classical Control,0.3055 ± 0.1729,0.4134 ± 0.1301,59.54 ± 5.49,0.3054726068082074,0.1729090366575898,0.413387551685424,59.53975392856436
16,1,hybrid_no_entanglement,QNN No-Ent,0.5031 ± 0.1421,0.5451 ± 0.1281,137.20 ± 8.30,0.5030965124940255,0.1420788427885482,0.5450724280511514,137.19625712485453
16,2,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,0.4545 ± 0.1735,0.5108 ± 0.1339,328.08 ± 26.84,0.4545309112975081,0.17347447499314897,0.5107820586543991,328.07694207728906
