shot,rank,method,display_name,macro_f1_mean_std,accuracy_mean_std,runtime_seconds_mean_std,macro_f1_mean,macro_f1_std,accuracy_mean,runtime_seconds_mean
16,4,baseline_cnn,CNN Baseline,0.8382 ± 0.0246,0.8369 ± 0.0249,95.37 ± 11.19,0.8382301070092623,0.02457081911409671,0.8369140625,95.3749922915262
16,2,hybrid_control,Classical Control,0.8545 ± 0.0059,0.8532 ± 0.0053,26.29 ± 7.40,0.8545375132879268,0.005853835299819956,0.8532366071428571,26.285567023990943
16,3,hybrid_no_entanglement,QNN No-Ent,0.8534 ± 0.0027,0.8523 ± 0.0034,41.46 ± 13.60,0.8534390367201496,0.002653667027344932,0.8522600446428571,41.46489654757482
16,1,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,0.8596 ± 0.0125,0.8584 ± 0.0131,102.48 ± 30.84,0.8596365621682088,0.012459134831449597,0.8583984375,102.47703569043162
