shot,method,circuit_type,num_runs,accuracy_mean,accuracy_std,f1_mean,f1_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,roc_auc_mean,roc_auc_std,runtime_seconds_mean,runtime_seconds_std
16,baseline_cnn,,7,0.8369140625,0.024916700824556784,0.8382301070092623,0.02457081911409671,0.8382301070092623,0.02457081911409671,0.8382301070092623,0.02457081911409671,0.9571849278041294,0.010306542553910397,95.3749922915262,11.192658461481466
16,hybrid_control,,7,0.8532366071428571,0.005340356108614432,0.8545375132879268,0.005853835299819956,0.8545375132879268,0.005853835299819956,0.8545375132879268,0.005853835299819956,0.9629291352771577,0.003973146939272536,26.285567023990943,7.396450341150908
16,hybrid_no_entanglement,no_entanglement,7,0.8522600446428571,0.003369460738976339,0.8534390367201496,0.002653667027344932,0.8534390367201496,0.002653667027344932,0.8534390367201496,0.002653667027344932,0.9638761792864118,0.004257705232056566,41.46489654757482,13.596858485649875
16,hybrid_zz_real_amplitudes,zz_real_amplitudes,7,0.8583984375,0.013126201271911428,0.8596365621682088,0.012459134831449597,0.8596365621682088,0.012459134831449597,0.8596365621682088,0.012459134831449597,0.9646285829089937,0.006274288978010758,102.47703569043162,30.84460651018219
