shot,rank,method,display_name,macro_f1_mean_std,accuracy_mean_std,runtime_seconds_mean_std,macro_f1_mean,macro_f1_std,accuracy_mean,runtime_seconds_mean
32,4,baseline_cnn,CNN Baseline,0.3595 ± 0.2036,0.4980 ± 0.1661,56.87 ± 3.41,0.35945143581595523,0.20359207787458958,0.49802842356033844,56.87461436900776
32,3,hybrid_control,Classical Control,0.6034 ± 0.0478,0.6691 ± 0.0494,67.28 ± 3.78,0.603424707509208,0.04779218735337138,0.6691037542101372,67.27678802973658
32,1,hybrid_no_entanglement,QNN No-Ent,0.6128 ± 0.0557,0.6830 ± 0.0593,150.78 ± 9.22,0.6127818260276408,0.0556863493139168,0.6829937840576138,150.77839147031773
32,2,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,0.6053 ± 0.0239,0.6782 ± 0.0271,423.74 ± 21.53,0.6052623786579628,0.023927140837265163,0.6782154494920452,423.7392022084345
