shot,method,display_name,class_name,num_runs,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
16,baseline_cnn,CNN Baseline,bridge,7,0.10732289157475798,0.07471868856173043,0.651005547850208,0.33659621586113686,0.1743469530164835,0.1000484949806126
16,baseline_cnn,CNN Baseline,harbor,7,0.0,0.0,0.0,0.0,0.0,0.0
16,baseline_cnn,CNN Baseline,storagetank,7,0.7258540878811685,0.10248528051483871,0.7147706950380407,0.28036095941966216,0.6689021650150673,0.1882377234813389
16,baseline_cnn,CNN Baseline,vehicle,7,0.3176321686205628,0.32325755908105774,0.2763046705492749,0.3609666225489591,0.26458857031327476,0.33280884188599824
16,hybrid_control,Classical Control,bridge,7,0.15886827571234066,0.07141052321913408,0.4866504854368932,0.2745679230728844,0.20886621223082963,0.05563843255483206
16,hybrid_control,Classical Control,harbor,7,0.5206325181449466,0.4884733436219566,0.38075462743236826,0.3612733592291282,0.4371169482346119,0.40999027388053677
16,hybrid_control,Classical Control,storagetank,7,0.7089775396991531,0.06449745738457904,0.7753629777818193,0.14932070166974076,0.7273420265406715,0.05000594020040057
16,hybrid_control,Classical Control,vehicle,7,0.5805134145241808,0.2943817183682893,0.4379810437364394,0.2680670281231096,0.4888369145207274,0.2627399542709393
16,hybrid_no_entanglement,QNN No-Ent,bridge,7,0.16634949946933006,0.18590779286980708,0.48509015256588073,0.3704536851999102,0.18248936204877167,0.11002037393516317
16,hybrid_no_entanglement,QNN No-Ent,harbor,7,0.519966453124084,0.3756311175183245,0.5293070716658757,0.37521699524771623,0.522808534341944,0.37197460626623113
16,hybrid_no_entanglement,QNN No-Ent,storagetank,7,0.7123999678074867,0.09830341667927432,0.792640417083447,0.22618434852681435,0.718075659247506,0.12635495467759136
16,hybrid_no_entanglement,QNN No-Ent,vehicle,7,0.6179354064376728,0.370454966806691,0.36270412241635264,0.3294506425395191,0.41365850428530554,0.35021889668894596
16,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,bridge,7,0.13627228884305304,0.05479646115807192,0.6310679611650485,0.22031072653236286,0.2091020587726423,0.054340981933637664
16,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,harbor,7,0.35561999922802895,0.44507626126389005,0.31976744186046513,0.4011157856579215,0.3350218547101343,0.4179494822765046
16,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,storagetank,7,0.6989824379827597,0.06221928349201402,0.7972780455275681,0.14358059972495885,0.7345114106237648,0.05618174874660699
16,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,vehicle,7,0.5104798519750334,0.3592956313265784,0.27806326367477446,0.2284732080784782,0.3505162100296607,0.2658965514187272
