shot,rank,method,display_name,macro_f1_mean_std,accuracy_mean_std,runtime_seconds_mean_std,macro_f1_mean,macro_f1_std,accuracy_mean,runtime_seconds_mean
64,1,baseline_cnn,CNN Baseline,0.6708 ± 0.0352,0.7311 ± 0.0253,61.67 ± 5.95,0.6708027474720983,0.035186506510791166,0.7310988800350502,61.67081592258598
64,3,hybrid_control,Classical Control,0.6705 ± 0.0378,0.7393 ± 0.0362,65.93 ± 11.18,0.670549291624096,0.03783795735359932,0.7392590158547605,65.9255711548363
64,4,hybrid_no_entanglement,QNN No-Ent,0.6685 ± 0.0280,0.7410 ± 0.0283,161.18 ± 27.40,0.6684547932572381,0.027985479306889514,0.7410320655001505,161.17525851798044
64,2,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,0.6707 ± 0.0314,0.7450 ± 0.0284,492.68 ± 100.72,0.6706969624749268,0.03142967160948892,0.744988909882527,492.67925876786467
