shot,seed,method,circuit_type,accuracy,f1,macro_f1,weighted_f1,roc_auc,runtime_seconds,best_epoch,num_classes,class_names
16,42,baseline_cnn,,0.27069867651585106,0.20722478817957163,0.20722478817957163,0.25557274407418873,0.7004685396258592,36.95424883405212,4,4,"vehicle,bridge,harbor,storagetank"
16,42,hybrid_control,,0.5630193905817175,0.550421655649327,0.550421655649327,0.5831486310526739,0.7617823231981935,46.87003762507811,11,4,"vehicle,bridge,harbor,storagetank"
16,42,hybrid_no_entanglement,no_entanglement,0.17997845490920283,0.1552490754383634,0.1552490754383634,0.1873401543037315,0.6980495062986742,80.58525129104964,2,4,"vehicle,bridge,harbor,storagetank"
16,42,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.4420590951061865,0.31614309734772594,0.31614309734772594,0.46318461728689303,0.6921314013907583,200.68243620893918,2,4,"vehicle,bridge,harbor,storagetank"
16,43,baseline_cnn,,0.38496460449369035,0.22503880350777566,0.22503880350777566,0.2744942277690553,0.810338667424999,38.91274420800619,5,4,"vehicle,bridge,harbor,storagetank"
16,43,hybrid_control,,0.3636503539550631,0.2344169805716446,0.2344169805716446,0.2866085435535825,0.7092703755111476,38.472806124947965,2,4,"vehicle,bridge,harbor,storagetank"
16,43,hybrid_no_entanglement,no_entanglement,0.47991689750692523,0.4506393681092675,0.4506393681092675,0.3895278009610851,0.7973091539028754,102.69608999998309,12,4,"vehicle,bridge,harbor,storagetank"
16,43,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.3692674669128963,0.22781027575678792,0.22781027575678792,0.2746707275945002,0.7354452164224831,188.40025766694453,1,4,"vehicle,bridge,harbor,storagetank"
16,44,baseline_cnn,,0.5903354878424131,0.40656694221833556,0.40656694221833556,0.5534811040688209,0.8504722764749887,40.009751167031936,9,4,"vehicle,bridge,harbor,storagetank"
16,44,hybrid_control,,0.6360418590335488,0.3856742786149805,0.3856742786149805,0.606286597721455,0.8131711066967755,36.78389941598289,1,4,"vehicle,bridge,harbor,storagetank"
16,44,hybrid_no_entanglement,no_entanglement,0.7607725453985842,0.6772760951121143,0.6772760951121143,0.7525463253717715,0.9187392098333457,103.15645487501752,12,4,"vehicle,bridge,harbor,storagetank"
16,44,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.5878731917513081,0.4033428786262854,0.4033428786262854,0.5598292898690184,0.8296789504091764,199.8838395420462,2,4,"vehicle,bridge,harbor,storagetank"
16,45,baseline_cnn,,0.34295167743921207,0.23266453298017142,0.23266453298017142,0.28655467807440843,0.7951970599246846,37.82621791691054,4,4,"vehicle,bridge,harbor,storagetank"
16,45,hybrid_control,,0.33879655278547244,0.2705422227766138,0.2705422227766138,0.3718331779808365,0.7207065563027424,38.04187879199162,2,4,"vehicle,bridge,harbor,storagetank"
16,45,hybrid_no_entanglement,no_entanglement,0.3510310864881502,0.23523074542856226,0.23523074542856226,0.28987071691389593,0.7018864507821734,77.2396711660549,1,4,"vehicle,bridge,harbor,storagetank"
16,45,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.2633887349953832,0.2020608357678611,0.2020608357678611,0.24732043393349487,0.7032785099967518,188.41168962500524,1,4,"vehicle,bridge,harbor,storagetank"
16,46,baseline_cnn,,0.4088180978762696,0.2554496056056736,0.2554496056056736,0.3743824476124272,0.8294556279284019,39.91277212498244,10,4,"vehicle,bridge,harbor,storagetank"
16,46,hybrid_control,,0.66735918744229,0.5965794487815536,0.5965794487815536,0.6788479385368926,0.8517059988859838,45.486693041049875,7,4,"vehicle,bridge,harbor,storagetank"
16,46,hybrid_no_entanglement,no_entanglement,0.6873653431825177,0.5898236615790478,0.5898236615790478,0.6890729717532931,0.8509304663421516,102.64208720892202,11,4,"vehicle,bridge,harbor,storagetank"
16,46,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.538550323176362,0.536142546989093,0.536142546989093,0.5542066751865261,0.832657843399099,271.799120749929,10,4,"vehicle,bridge,harbor,storagetank"
16,47,baseline_cnn,,0.6939058171745153,0.3789780312085284,0.3789780312085284,0.636194854902439,0.8302501255790178,40.316329166991636,7,4,"vehicle,bridge,harbor,storagetank"
16,47,hybrid_control,,0.6941366574330563,0.6177494532988903,0.6177494532988903,0.6837332462453646,0.8895818495060074,47.17418908304535,12,4,"vehicle,bridge,harbor,storagetank"
16,47,hybrid_no_entanglement,no_entanglement,0.7184518313327177,0.5118826263527257,0.5118826263527257,0.6944692778190468,0.8119912097709432,85.20074958307669,3,4,"vehicle,bridge,harbor,storagetank"
16,47,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.7129886118805786,0.6277876095159131,0.6277876095159131,0.7136863751600958,0.8810569907680208,277.2816819589352,12,4,"vehicle,bridge,harbor,storagetank"
16,48,baseline_cnn,,0.34264389042782395,0.23279325090338854,0.23279325090338854,0.2861709055006534,0.8043401697067897,40.22861279093195,7,4,"vehicle,bridge,harbor,storagetank"
16,48,hybrid_control,,0.6438134810710988,0.6033996379789611,0.6033996379789611,0.6590576429764525,0.837876113622831,48.300360750057735,8,4,"vehicle,bridge,harbor,storagetank"
16,48,hybrid_no_entanglement,no_entanglement,0.6151892890120036,0.5947045328460917,0.5947045328460917,0.6337455946821772,0.8471092897890612,103.33182470907923,10,4,"vehicle,bridge,harbor,storagetank"
16,48,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.5340874115112342,0.5377279407346872,0.5377279407346872,0.5426946072340864,0.8393806761425242,276.3601032500155,10,4,"vehicle,bridge,harbor,storagetank"
