shot,comparison,num_pairs,mean_delta_macro_f1,bootstrap_samples,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_prob_delta_gt_0
16,no_ent-control,7,0.19762390568581806,20000,0.07659668000307761,0.3270552500639794,0.99985
16,zz-control,7,0.14905830448930066,20000,0.06211379617129474,0.2664963371984708,1.0
64,no_ent-control,7,-0.0020944983668579648,20000,-0.01438748005873777,0.006771973382660382,0.38975
64,zz-control,7,0.0001476708508308468,20000,-0.004479775385199962,0.005803832246394469,0.50405
