setting,seed,comparison,method_a,method_b,macro_f1_a,macro_f1_b,delta,winner
transport_logistics4 small_cnn shot64 bblr0.1,44,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.669248,0.670981,-0.001732,hybrid_control
transport_logistics4 small_cnn shot64 bblr0.1,44,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.666493,0.670981,-0.004488,hybrid_control
transport_logistics4 small_cnn shot64 bblr0.1,45,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.684291,0.719672,-0.035380,hybrid_control
transport_logistics4 small_cnn shot64 bblr0.1,45,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.710177,0.719672,-0.009494,hybrid_control
transport_logistics4 small_cnn shot64 bblr0.1,46,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.616277,0.601130,0.015147,hybrid_no_entanglement
transport_logistics4 small_cnn shot64 bblr0.1,46,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.615882,0.601130,0.014752,hybrid_zz_real_amplitudes
transport_logistics4 small_cnn shot64 bblr0.1,47,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.669101,0.669510,-0.000409,hybrid_control
transport_logistics4 small_cnn shot64 bblr0.1,47,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.669972,0.669510,0.000462,hybrid_zz_real_amplitudes
transport_logistics4 small_cnn shot64 bblr0.1,48,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.667930,0.667853,0.000077,hybrid_no_entanglement
transport_logistics4 small_cnn shot64 bblr0.1,48,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.668484,0.667853,0.000631,hybrid_zz_real_amplitudes
transport_logistics4 resnet18 shot16 bblr0.1,42,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.851516,0.854271,-0.002755,hybrid_control
