shot,method,display_name,class_name,num_runs,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
16,baseline_cnn,CNN Baseline,airplane,7,0.9339084994080621,0.0377446434798725,0.8342633928571429,0.07905877967437387,0.8792503053749104,0.048898177698212864
16,baseline_cnn,CNN Baseline,harbor,7,0.9076221627750056,0.026596040252999015,0.8543526785714286,0.06931857858237969,0.878506666919333,0.03655540249654183
16,baseline_cnn,CNN Baseline,ship,7,0.7856052228752468,0.07986020190904206,0.8420758928571429,0.061880767979110636,0.8088223382620154,0.03916912302053272
16,baseline_cnn,CNN Baseline,vehicle,7,0.7660910914081022,0.069141741141042,0.8169642857142857,0.07781280628405966,0.7863411174807904,0.04419531915076819
16,hybrid_control,Classical Control,airplane,7,0.9526460758553883,0.021400780827303446,0.8448660714285714,0.05200421818542589,0.89439850789114,0.025899352031068527
16,hybrid_control,Classical Control,harbor,7,0.9034219064831063,0.03163158010095194,0.88671875,0.03899734148924984,0.8940845836475845,0.018565790671012793
16,hybrid_control,Classical Control,ship,7,0.8243248021355108,0.04628771200507484,0.8443080357142857,0.0413046963309028,0.8332751388204916,0.03184028035521323
16,hybrid_control,Classical Control,vehicle,7,0.7614633455460377,0.03629205809200061,0.8370535714285714,0.04295183649806546,0.7963918227924914,0.023561525715861464
16,hybrid_no_entanglement,QNN No-Ent,airplane,7,0.9418579729851502,0.02543696578542414,0.8604910714285714,0.05935762002836323,0.8977751927487366,0.026983723588811112
16,hybrid_no_entanglement,QNN No-Ent,harbor,7,0.9011694699940243,0.03182244199548297,0.8816964285714286,0.0399453798396725,0.8907344363311854,0.026310032746117477
16,hybrid_no_entanglement,QNN No-Ent,ship,7,0.8219437551198808,0.04533556256155844,0.8353794642857143,0.02682056884084356,0.8278806556874044,0.026276404037982315
16,hybrid_no_entanglement,QNN No-Ent,vehicle,7,0.7676099123467846,0.04265207155311157,0.8314732142857143,0.030875735001854806,0.7973658621132721,0.02465236146929365
16,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,airplane,7,0.943574570426847,0.031346168250414655,0.8666294642857143,0.061533401616592986,0.9015706927803782,0.02581848166467514
16,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,harbor,7,0.9123918873122221,0.027588738834238923,0.8917410714285714,0.040262447586304054,0.9010734272934572,0.017346163519533317
16,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,ship,7,0.8253284986336377,0.06492608053348606,0.8465401785714286,0.03433015879408921,0.8343723504399323,0.03705190402801518
16,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,vehicle,7,0.778132406613166,0.049914425316077746,0.8286830357142857,0.03046111778646009,0.8015297781590676,0.027609903263928575
